No,Nama Dokumen,Nomor Dokumen,Tanggal Dokumen,Jenis Dokumen,Isi Dokumen
120,Daftar guru pengajar,SMKT-AD/AKD/120/2025,11 February 2025,Akademik,Dokumen 'Daftar guru pengajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
121,Surat perintah tugas,SMKT-AD/KPG/121/2025,15 May 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
122,Laporan keuangan semester,SMKT-AD/KUG/122/2025,22 June 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
123,Jadwal piket guru,SMKT-AD/KPG/123/2025,05 April 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
124,Bahan ajar kejuruan,SMKT-AD/KUR/124/2025,28 May 2025,Kurikulum,Dokumen 'Bahan ajar kejuruan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
125,Laporan audit internal,SMKT-AD/KUG/125/2025,06 February 2025,Keuangan,Dokumen 'Laporan audit internal' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
126,Surat tugas panitia,SMKT-AD/ADM/126/2025,15 January 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
127,Jadwal pelajaran semester genap,SMKT-AD/AKD/127/2025,04 February 2025,Akademik,Dokumen 'Jadwal pelajaran semester genap' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
128,Laporan hasil ujian,SMKT-AD/EVL/128/2025,22 January 2025,Evaluasi,Dokumen 'Laporan hasil ujian' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
129,Foto dokumentasi perbaikan,SMKT-AD/SRP/129/2025,21 July 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
130,Berita acara serah terima barang,SMKT-AD/SRP/130/2025,14 October 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
131,Analisis hasil belajar siswa,SMKT-AD/EVL/131/2025,25 May 2025,Evaluasi,Dokumen 'Analisis hasil belajar siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
132,Rekap data guru dan staf,SMKT-AD/KPG/132/2025,30 June 2025,Kepegawaian,Dokumen 'Rekap data guru dan staf' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
133,Laporan keuangan semester,SMKT-AD/KUG/133/2025,20 March 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
134,Jadwal remedial,SMKT-AD/AKD/134/2025,19 March 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
135,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/135/2025,05 October 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
136,Foto dokumentasi perbaikan,SMKT-AD/SRP/136/2025,24 June 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
137,Berita acara serah terima barang,SMKT-AD/SRP/137/2025,16 February 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
138,Laporan hasil konseling,SMKT-AD/SW/138/2025,27 July 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
139,Bukti pengeluaran kas,SMKT-AD/KUG/139/2025,12 March 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
140,Jadwal piket guru,SMKT-AD/KPG/140/2025,04 February 2025,Kepegawaian,Dokumen 'Jadwal piket guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
141,Kartu ujian siswa,SMKT-AD/SW/141/2025,21 June 2025,Siswa,Dokumen 'Kartu ujian siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
142,Surat tugas panitia,SMKT-AD/ADM/142/2025,18 August 2025,Administrasi,Dokumen 'Surat tugas panitia' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
143,Berita acara serah terima barang,SMKT-AD/SRP/143/2025,15 December 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
144,Surat peringatan kedisiplinan siswa,SMKT-AD/SW/144/2025,25 February 2025,Siswa,Dokumen 'Surat peringatan kedisiplinan siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
145,Rekap nilai siswa per kelas,SMKT-AD/AKD/145/2025,04 November 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
146,Daftar hadir rapat,SMKT-AD/ADM/146/2025,19 August 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
147,Laporan pengadaan alat,SMKT-AD/SRP/147/2025,31 October 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
148,Bukti penerimaan sumbangan,SMKT-AD/KUG/148/2025,08 May 2025,Keuangan,Dokumen 'Bukti penerimaan sumbangan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
149,Surat pemberitahuan kelulusan,SMKT-AD/SW/149/2025,12 March 2025,Siswa,Dokumen 'Surat pemberitahuan kelulusan' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
150,Rencana anggaran tahunan,SMKT-AD/KUG/150/2025,30 June 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
151,Laporan kerusakan fasilitas,SMKT-AD/SRP/151/2025,28 October 2025,Sarana dan Prasarana,Dokumen 'Laporan kerusakan fasilitas' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
152,Daftar hadir rapat,SMKT-AD/ADM/152/2025,15 July 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
153,Laporan hasil wawancara siswa,SMKT-AD/EVL/153/2025,05 December 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
154,Laporan hasil konseling,SMKT-AD/SW/154/2025,18 January 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
155,Kalender akademik,SMKT-AD/AKD/155/2025,31 May 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
156,Formulir mutasi siswa,SMKT-AD/SW/156/2025,21 April 2025,Siswa,Dokumen 'Formulir mutasi siswa' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
157,RPP mata pelajaran,SMKT-AD/KUR/157/2025,20 June 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
158,Rencana pengadaan barang,SMKT-AD/KUG/158/2025,11 May 2025,Keuangan,Dokumen 'Rencana pengadaan barang' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
159,Rekap dana BOS,SMKT-AD/KUG/159/2025,05 November 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
160,Laporan supervisi kelas,SMKT-AD/EVL/160/2025,30 November 2025,Evaluasi,Dokumen 'Laporan supervisi kelas' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
161,Form penilaian sikap siswa,SMKT-AD/EVL/161/2025,04 August 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
162,Laporan kas harian,SMKT-AD/KUG/162/2025,02 February 2025,Keuangan,Dokumen 'Laporan kas harian' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
163,Data sertifikasi guru,SMKT-AD/KPG/163/2025,18 February 2025,Kepegawaian,Dokumen 'Data sertifikasi guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
164,SK pemberhentian sementara,SMKT-AD/KPG/164/2025,29 June 2025,Kepegawaian,Dokumen 'SK pemberhentian sementara' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
165,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/165/2025,10 February 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
166,SK pengangkatan guru,SMKT-AD/KPG/166/2025,07 February 2025,Kepegawaian,Dokumen 'SK pengangkatan guru' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
167,Bukti pengeluaran kas,SMKT-AD/KUG/167/2025,20 August 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
168,Modul pembelajaran,SMKT-AD/KUR/168/2025,29 May 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
169,Foto dokumentasi perbaikan,SMKT-AD/SRP/169/2025,03 August 2025,Sarana dan Prasarana,Dokumen 'Foto dokumentasi perbaikan' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
170,Rekap dana BOS,SMKT-AD/KUG/170/2025,01 January 2025,Keuangan,Dokumen 'Rekap dana BOS' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
171,Rencana anggaran tahunan,SMKT-AD/KUG/171/2025,14 November 2025,Keuangan,Dokumen 'Rencana anggaran tahunan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
172,Surat perintah tugas,SMKT-AD/KPG/172/2025,11 September 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
173,Rencana perbaikan gedung,SMKT-AD/SRP/173/2025,18 August 2025,Sarana dan Prasarana,Dokumen 'Rencana perbaikan gedung' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
174,Rekap penilaian akhir,SMKT-AD/EVL/174/2025,31 December 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
175,Surat edaran sekolah,SMKT-AD/ADM/175/2025,31 July 2025,Administrasi,Dokumen 'Surat edaran sekolah' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
176,Daftar nilai ujian akhir,SMKT-AD/SW/176/2025,12 February 2025,Siswa,Dokumen 'Daftar nilai ujian akhir' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
177,Berita acara serah terima barang,SMKT-AD/SRP/177/2025,23 September 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
178,Laporan pemeliharaan sarana,SMKT-AD/SRP/178/2025,28 November 2025,Sarana dan Prasarana,Dokumen 'Laporan pemeliharaan sarana' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
179,Panduan penilaian,SMKT-AD/KUR/179/2025,04 June 2025,Kurikulum,Dokumen 'Panduan penilaian' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
180,Kalender akademik,SMKT-AD/AKD/180/2025,23 September 2025,Akademik,Dokumen 'Kalender akademik' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
181,Rekap penilaian akhir,SMKT-AD/EVL/181/2025,07 July 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
182,Kwitansi pembayaran kegiatan,SMKT-AD/KUG/182/2025,03 February 2025,Keuangan,Dokumen 'Kwitansi pembayaran kegiatan' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
183,RPP mata pelajaran,SMKT-AD/KUR/183/2025,24 August 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
184,Dokumen standar kompetensi lulusan,SMKT-AD/KUR/184/2025,24 September 2025,Kurikulum,Dokumen 'Dokumen standar kompetensi lulusan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
185,Laporan monitoring kegiatan,SMKT-AD/EVL/185/2025,23 February 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
186,Modul pembelajaran,SMKT-AD/KUR/186/2025,04 July 2025,Kurikulum,Dokumen 'Modul pembelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
187,Formulir pendaftaran siswa baru,SMKT-AD/SW/187/2025,24 June 2025,Siswa,Dokumen 'Formulir pendaftaran siswa baru' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
188,Daftar hadir rapat,SMKT-AD/ADM/188/2025,03 December 2025,Administrasi,Dokumen 'Daftar hadir rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
189,RPP mata pelajaran,SMKT-AD/KUR/189/2025,08 October 2025,Kurikulum,Dokumen 'RPP mata pelajaran' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
190,Laporan hasil konseling,SMKT-AD/SW/190/2025,16 April 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
191,Laporan hasil wawancara siswa,SMKT-AD/EVL/191/2025,15 August 2025,Evaluasi,Dokumen 'Laporan hasil wawancara siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
192,Rencana kegiatan belajar,SMKT-AD/AKD/192/2025,16 February 2025,Akademik,Dokumen 'Rencana kegiatan belajar' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
193,Laporan keuangan semester,SMKT-AD/KUG/193/2025,05 January 2025,Keuangan,Dokumen 'Laporan keuangan semester' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
194,Rekap penilaian akhir,SMKT-AD/EVL/194/2025,20 April 2025,Evaluasi,Dokumen 'Rekap penilaian akhir' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
195,Laporan kegiatan ekstrakurikuler,SMKT-AD/SW/195/2025,17 October 2025,Siswa,Dokumen 'Laporan kegiatan ekstrakurikuler' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
196,Surat perintah tugas,SMKT-AD/KPG/196/2025,28 March 2025,Kepegawaian,Dokumen 'Surat perintah tugas' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
197,Laporan hasil rapat,SMKT-AD/ADM/197/2025,11 February 2025,Administrasi,Dokumen 'Laporan hasil rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
198,Surat pernyataan kerja sama,SMKT-AD/ADM/198/2025,21 December 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
199,Berita acara serah terima barang,SMKT-AD/SRP/199/2025,20 June 2025,Sarana dan Prasarana,Dokumen 'Berita acara serah terima barang' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
200,Rekap nilai siswa per kelas,SMKT-AD/AKD/200/2025,12 June 2025,Akademik,Dokumen 'Rekap nilai siswa per kelas' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
201,Laporan hasil konseling,SMKT-AD/SW/201/2025,01 March 2025,Siswa,Dokumen 'Laporan hasil konseling' termasuk kategori siswa yang memuat informasi resmi terkait siswa di SMK Terpadu Ad-Dimyati.
202,Form penilaian sikap siswa,SMKT-AD/EVL/202/2025,08 October 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
203,Laporan absensi pegawai,SMKT-AD/KPG/203/2025,14 July 2025,Kepegawaian,Dokumen 'Laporan absensi pegawai' termasuk kategori kepegawaian yang memuat informasi resmi terkait kepegawaian di SMK Terpadu Ad-Dimyati.
204,Surat pernyataan kerja sama,SMKT-AD/ADM/204/2025,25 October 2025,Administrasi,Dokumen 'Surat pernyataan kerja sama' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
205,Program tahunan,SMKT-AD/KUR/205/2025,14 January 2025,Kurikulum,Dokumen 'Program tahunan' termasuk kategori kurikulum yang memuat informasi resmi terkait kurikulum di SMK Terpadu Ad-Dimyati.
206,Surat undangan rapat,SMKT-AD/ADM/206/2025,27 December 2025,Administrasi,Dokumen 'Surat undangan rapat' termasuk kategori administrasi yang memuat informasi resmi terkait administrasi di SMK Terpadu Ad-Dimyati.
207,Daftar fasilitas olahraga,SMKT-AD/SRP/207/2025,01 February 2025,Sarana dan Prasarana,Dokumen 'Daftar fasilitas olahraga' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
208,Laporan pengadaan alat,SMKT-AD/SRP/208/2025,05 November 2025,Sarana dan Prasarana,Dokumen 'Laporan pengadaan alat' termasuk kategori sarana dan prasarana yang memuat informasi resmi terkait sarana dan prasarana di SMK Terpadu Ad-Dimyati.
209,Form penilaian sikap siswa,SMKT-AD/EVL/209/2025,01 March 2025,Evaluasi,Dokumen 'Form penilaian sikap siswa' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
210,Laporan monitoring kegiatan,SMKT-AD/EVL/210/2025,17 July 2025,Evaluasi,Dokumen 'Laporan monitoring kegiatan' termasuk kategori evaluasi yang memuat informasi resmi terkait evaluasi di SMK Terpadu Ad-Dimyati.
211,Bukti pengeluaran kas,SMKT-AD/KUG/211/2025,25 December 2025,Keuangan,Dokumen 'Bukti pengeluaran kas' termasuk kategori keuangan yang memuat informasi resmi terkait keuangan di SMK Terpadu Ad-Dimyati.
212,Jadwal remedial,SMKT-AD/AKD/212/2025,14 January 2025,Akademik,Dokumen 'Jadwal remedial' termasuk kategori akademik yang memuat informasi resmi terkait akademik di SMK Terpadu Ad-Dimyati.
